VerseNo,Verse
#2.13," ""Where does the embodied soul passes at death?"""
#2.14," ""What are the appearance and disappearance of happiness and distress like?"""
#2.20," ""Is there birth or death for the soul?"""
#2.20," ""Does the soul ever cease to exist?"""
#2.23," ""Can the soul be cut into pieces?"""
#2.23," ""Can the soul be burned?"""
#2.23," ""Can the soul be moistened?"""
#2.23," ""Can the soul be withered?"""
#2.45," ""What does the vedas mainly deal with?"""
#2.45," ""Who needs to rise above the modes of material nature?"""
#2.46," ""To whom can the purposes of Vedas be served?"""
#2.62," ""How does lust develops and from that anger arises?"""
#2.63," ""How does one falls down into the material pool?"""
#2.64," ""How can one become free from all attachment and aversion?"""
#2.69," ""What is the time of awakening for the self-controlled?"""
#2.69," ""When is the night for the introspective sage?"""
#2.23," ""Can the soul be destroyed by any means?"""
#2.62," ""How does anger arises?"""
#2.62," ""How does lust develops?"""